epoch,met_hours,pos_x_km,pos_y_km,pos_z_km,vel_x_kms,vel_y_kms,vel_z_kms,dist_km,alt_km,speed_kms,energy,h_mag,h_x,h_y,h_z,ecc,sma_km,inc_deg,visviva_kms,speed_residual,energy_residual,fpa_deg,accel_mag,jerk_mag,delta_speed,delta_energy,anomaly_score,anomaly_if,anomaly_score_if
2026-04-02T03:26:56.675,0.0,-30235.27077655348,-28350.027544916626,-15371.720399954304,-0.53425226425781,-2.511124565625,-1.35694355507813,44206.16980449009,37835.16980449009,2.9038711881931016,-4.800616956956983,69071.52032175152,-130.91754888213472,-32815.179387072814,60778.464787684126,0.8436212157468289,41515.54324932696,28.36544758992132,2.9038711881931016,0.0,0.0,57.44764810725776,0.0002013084101089,0.0,0.0,0.0,0.0,False,0.35860504307032937
2026-04-02T03:30:56.675,0.0666666666666666,-30359.52071160636,-28948.953144553725,-15695.356570781783,-0.50135696261662,-2.48001755759427,-1.34007649968028,44789.35815445457,38418.35815445457,2.863154015231343,-4.800619817578236,69071.41449525104,-130.94806887942104,-32815.103949668446,60778.38518544636,0.8436216375234756,41515.51851080363,28.365423987039424,2.863154015231343,0.0,-2.860621252764872e-06,57.41056433839622,0.0001987373675467,1.6571283760264938e-08,-0.0407171729617585,-2.860621252764872e-06,7.82028584437e-05,False,0.26689896243687705
2026-04-02T03:34:56.675,0.1333333333333333,-30476.01217351893,-29540.48090052055,-16014.981575024924,-0.46958751926946,-2.44947218593224,-1.32351515487744,45364.15947290197,38993.15947290197,2.823494075272616,-4.800622566291429,69071.3064012264,-130.9777720343409,-32815.02850291959,60778.303013064666,0.8436220745019315,41515.49474008392,28.365401387792776,2.823494075272616,0.0,-5.609334445821901e-06,57.366746155856326,0.0001937307249531,2.1348135807401477e-08,-0.0396599399587271,-2.7487131930570285e-06,0.0001087617663778,False,0.3122443292006135
2026-04-02T03:38:56.675,0.2,-30585.007790999807,-30124.742997746194,-16330.667358547063,-0.43888160828771,-2.41946689852374,-1.30724774708408,45930.74720305878,39559.74720305878,2.7848399974507863,-4.800625220438459,69071.19601841911,-131.0066895161217,-32814.95297460279,60778.21828530996,0.8436225261700239,41515.471787193,28.36537973373481,2.7848399974507863,0.0,-8.263481475978551e-06,57.316407040766826,0.0001889785754266,2.0277356910960993e-08,-0.0386540778218296,-2.6541470301566505e-06,0.0001155361754975,False,0.28792365519023666
2026-04-02T03:42:56.675,0.2666666666666666,-30686.755804609,-30701.86657561572,-16642.483111357316,-0.40918157725525,-2.38998119172626,-1.29126307910376,46489.28733751924,40118.28733751924,2.747143971368609,-4.800627795251458,69071.08332960642,-131.03485110354814,-32814.87729901556,60778.13101802147,0.8436229920707119,41515.44952040186,28.36535897075355,2.747143971368609,-4.440892098500626e-16,-1.08382944752e-05,57.25974108429485,0.0001844630827888,1.9281221927726828e-08,-0.0376960260821777,-2.5748129992564373e-06,0.0001222786442905,True,0.41037761792161576
2026-04-02T03:46:56.675,0.3333333333333333,-30781.491135011707,-31271.97397280629,-16950.495402156328,-0.38043401098291,-2.3609955540851,-1.27555049877838,47039.93885018561,40668.93885018561,2.710361436793242,-4.800630304125264,69070.96832128082,-131.0622852334418,-32814.801416416754,60778.04122804469,0.8436234717939721,41515.42782387094,28.365339048687723,2.710361436793242,0.0,-1.33471682808e-05,57.19692469299389,0.0001801680026565,1.835310352505897e-08,-0.0367825345753667,-2.508873805595613e-06,0.0001290184680741,False,0.2434242987033881
2026-04-02T03:50:56.675,0.4,-30869.43635245876,-31835.182958883044,-17254.768305515598,-0.35258934357394,-2.33249141231793,-1.26009986896904,47582.85409704934,41211.85409704934,2.6744508059627097,-4.800632758850423,69070.85098336052,-131.08901905679522,-32814.72527251923,60777.94893317613,0.843623964969938,41515.40659563494,28.36531992097848,2.6744508059627097,0.0,-1.58018934399e-05,57.12811810381422,0.0001760785117883,1.7487081818238432e-08,-0.0359106308305321,-2.454725159140025e-06,0.000135781088277,False,0.21988421123499324
2026-04-02T03:54:56.675,0.4666666666666667,-30950.802558339285,-32391.606953220868,-17555.363522020027,-0.32560151267831,-2.30445107973276,-1.24490153894373,48118.1791884057,41747.1791884057,2.639373214534912,-4.800635169813303,69070.73130892591,-131.1150784950878,-32814.648818032765,60777.85415211046,0.84362447126308,41515.385745872205,28.36530154435668,2.639373214534912,0.0,-1.82128563199e-05,57.05346673297165,0.0001721810586552,1.6677856732217055e-08,-0.0350775914277976,-2.4109628800061955e-06,0.0001425885755673,False,0.19171584815084886
2026-04-02T03:58:56.675,0.5333333333333333,-31025.790188281288,-32941.35523184724,-17852.34049171587,-0.29942765065678,-2.2768577071598,-1.22994631720374,48646.05433486008,42275.05433486008,2.6050922977571958,-4.800637546168398,69070.60929397878,-131.14048829358217,-32814.57200825311,60777.75690438871,0.8436249903672637,41515.36519541459,28.365283878563595,2.6050922977571958,0.0,-2.05892114149e-05,56.97310237939876,0.0001684632322462,1.59206726551876e-08,-0.0342809167777167,-2.3763550949240653e-06,0.000149460046321,False,0.1524401295661988
2026-04-02T04:02:56.675,0.6,-31094.58974510049,-33484.53312281283,-18145.75650120993,-0.27402780811876,-2.24969523641645,-1.21522544574892,49166.61416927202,42795.61416927202,2.5715739888972475,-4.800639895987103,69070.48493722314,-131.16527208010666,-32814.49480268624,60777.65721035196,0.8436255220015381,41515.34487446076,28.365266886094982,2.5715739888972475,0.0,-2.29390301198e-05,56.88714430058239,0.0001649136465897,1.5211253467039707e-08,-0.0335183088599477,-2.3498187049497687e-06,0.0001564120225486,False,0.14095121938115085
